pair,block,input_tokens,first,local_ms,remote_ms,remote_minus_local_ms
b0-65536-0,0,65536,local,4221.40771300019,4299.915467999654,78.50775499946394
b0-65536-1,0,65536,remote,4459.583000999828,4290.555360000326,-169.02764099950218
b0-65536-2,0,65536,local,4224.27931700031,4296.041626999795,71.7623099994853
b0-65536-3,0,65536,remote,4448.140919999787,4299.391706999813,-148.74921299997368
b0-4096-0,0,4096,remote,183.5285159995692,177.11462799979927,-6.4138879997699405
b0-4096-1,0,4096,remote,186.0899260000224,173.47400600010587,-12.615919999916514
b0-4096-2,0,4096,local,169.45468300036737,173.56386200026463,4.109178999897267
b0-4096-3,0,4096,local,182.3341670001355,174.36956499977896,-7.964602000356535
b0-122880-0,0,122880,local,11113.690372000292,11278.22494799966,164.53457599936883
b0-122880-1,0,122880,remote,11622.905597999761,11303.915280000183,-318.9903179995781
b0-122880-2,0,122880,remote,11617.256610999902,11396.19994099985,-221.0566700000527
b0-122880-3,0,122880,local,11626.434683999832,11329.022350999821,-297.41233300001113
b0-32768-0,0,32768,local,1625.0905530000637,1658.5864200001197,33.49586700005602
b0-32768-1,0,32768,remote,1728.2686429998648,1661.2227850000636,-67.04585799980123
b0-32768-2,0,32768,remote,1744.421135000266,1656.9985710002584,-87.4225640000077
b0-32768-3,0,32768,local,1738.3134960000461,1664.7234609999941,-73.59003500005201
b1-65536-0,1,65536,remote,4439.54237600019,4327.842156000315,-111.70021999987512
b1-65536-1,1,65536,local,4459.737035999751,4294.791673999953,-164.94536199979848
b1-65536-2,1,65536,remote,4442.190777999713,4309.816267000315,-132.3745109993979
b1-65536-3,1,65536,local,4460.960685999908,4293.404337000084,-167.55634899982397
b1-122880-0,1,122880,remote,11612.776414000109,11360.278200000266,-252.49821399984285
b1-122880-1,1,122880,remote,11575.507296000069,11339.420222000172,-236.08707399989726
b1-122880-2,1,122880,local,11176.060311999663,11333.928422999634,157.86811099997067
b1-122880-3,1,122880,local,11598.860296000112,11294.84019199981,-304.0201040003012
b1-32768-0,1,32768,local,1626.1187439999958,1657.4644789998274,31.34573499983162
b1-32768-1,1,32768,remote,1735.4015969999637,1651.6351300001588,-83.76646699980483
b1-32768-2,1,32768,remote,1731.6705369999,1677.0280839996303,-54.6424530002696
b1-32768-3,1,32768,local,1735.1883269998325,1657.1217519999664,-78.06657499986613
b1-4096-0,1,4096,local,172.713948999899,176.38805100023092,3.6741020003319136
b1-4096-1,1,4096,local,183.97347699965394,176.7410369998288,-7.2324399998251465
b1-4096-2,1,4096,remote,183.68718200008516,175.01975300001504,-8.667429000070115
b1-4096-3,1,4096,remote,185.15328299963585,175.00281899992842,-10.150463999707426
b2-32768-0,2,32768,remote,1741.3295510000353,1657.3367500000131,-83.99280100002215
b2-32768-1,2,32768,local,1749.323133999951,1654.438646000017,-94.88448799993421
b2-32768-2,2,32768,remote,1746.0489139998572,1660.92292500025,-85.12598899960722
b2-32768-3,2,32768,local,1739.810572999886,1656.5614880000794,-83.24908499980666
b2-65536-0,2,65536,remote,4430.683692999992,4319.647819000238,-111.03587399975368
b2-65536-1,2,65536,local,4440.716689000055,4270.182401000056,-170.53428799999892
b2-65536-2,2,65536,local,4215.641115999915,4278.1298179997975,62.48870199988232
b2-65536-3,2,65536,remote,4453.5416789999545,4271.248474000004,-182.29320499995083
b2-122880-0,2,122880,remote,11515.127615999972,11299.845820999963,-215.28179500000988
b2-122880-1,2,122880,local,11534.686419999616,11268.974471000092,-265.7119489995239
b2-122880-2,2,122880,remote,11597.722616999818,11335.64646800005,-262.0761489997676
b2-122880-3,2,122880,local,11611.603574000128,11256.279208000251,-355.32436599987705
b2-4096-0,2,4096,local,176.8800480003847,177.11971100015944,0.23966299977473682
b2-4096-1,2,4096,local,181.39821000022494,174.9005780002335,-6.497631999991427
b2-4096-2,2,4096,remote,183.32607100001042,173.69314799998392,-9.632923000026494
b2-4096-3,2,4096,remote,182.59539400014546,178.16235999998753,-4.433034000157932
